	Twet	Load	Hour(s)	TimeStamp(s)
2012-01-17 19:00:00	10.9	688.7	68400	1326826800
2012-01-17 20:00:00	11.2	727.5	72000	1326830400
2012-01-17 21:00:00	11.2	814.8000000000002	75600	1326834000
2012-01-17 22:00:00	11.5	43.65	79200	1326837600
2012-01-17 23:00:00	11.8	43.65	82800	1326841200
2012-01-18 00:00:00	11.8	43.65	0	1326844800
2012-01-18 01:00:00	7.5	43.65	3600	1326848400
2012-01-18 02:00:00	3.9	43.65	7200	1326852000
2012-01-18 03:00:00	2.6	43.65	10800	1326855600
2012-01-18 04:00:00	2.3	43.65	14400	1326859200
2012-01-18 05:00:00	1.8	43.65	18000	1326862800
2012-01-18 06:00:00	1.0	43.65	21600	1326866400
2012-01-18 07:00:00	0.9	58.2	25200	1326870000
2012-01-18 08:00:00	0.9	58.2	28800	1326873600
2012-01-18 09:00:00	0.7	58.2	32400	1326877200
2012-01-18 10:00:00	0.7	58.2	36000	1326880800
2012-01-18 11:00:00	0.2	562.6	39600	1326884400
2012-01-18 12:00:00	-9.3	611.1	43200	1326888000
2012-01-18 13:00:00	-0.6	572.3000000000002	46800	1326891600
2012-01-18 14:00:00	-0.9	552.9000000000002	50400	1326895200
2012-01-18 15:00:00	-1.3	543.2	54000	1326898800
2012-01-18 16:00:00	-2.0	640.2	57600	1326902400
2012-01-18 17:00:00	-3.1	455.89999999999986	61200	1326906000
2012-01-18 18:00:00	-3.6	58.2	64800	1326909600
2012-01-18 19:00:00	-4.0	417.1	68400	1326913200
2012-01-18 20:00:00	-4.3	426.8	72000	1326916800
2012-01-18 21:00:00	-4.7	417.1	75600	1326920400
2012-01-18 22:00:00	-5.0	397.7	79200	1326924000
2012-01-18 23:00:00	-5.3	58.2	82800	1326927600
2012-01-19 00:00:00	-5.9	58.2	0	1326931200
2012-01-19 01:00:00	-5.5	58.2	3600	1326934800
2012-01-19 02:00:00	-5.9	58.2	7200	1326938400
2012-01-19 03:00:00	-6.0	58.2	10800	1326942000
2012-01-19 04:00:00	-6.3	58.2	14400	1326945600
2012-01-19 05:00:00	-6.2	58.2	18000	1326949200
2012-01-19 06:00:00	-7.2	58.2	21600	1326952800
2012-01-19 07:00:00	-6.2	455.89999999999986	25200	1326956400
2012-01-19 08:00:00	-4.9	543.2	28800	1326960000
2012-01-19 09:00:00	-4.3	640.2	32400	1326963600
2012-01-19 10:00:00	-3.5	940.9	36000	1326967200
2012-01-19 11:00:00	-2.5	698.4000000000002	39600	1326970800
2012-01-19 12:00:00	-2.0	58.2	43200	1326974400
2012-01-19 13:00:00	-1.4	58.2	46800	1326978000
2012-01-19 14:00:00	-1.0	58.2	50400	1326981600
2012-01-19 15:00:00	-0.6	58.2	54000	1326985200
2012-01-19 16:00:00	-1.0	58.2	57600	1326988800
2012-01-19 17:00:00	-1.0	58.2	61200	1326992400
2012-01-19 18:00:00	-0.8	455.89999999999986	64800	1326996000
2012-01-19 19:00:00	-0.8	58.2	68400	1326999600
2012-01-19 20:00:00	-0.3	58.2	72000	1327003200
2012-01-19 21:00:00	0.1	58.2	75600	1327006800
2012-01-19 22:00:00	-0.3	58.2	79200	1327010400
2012-01-19 23:00:00	-1.0	465.6	82800	1327014000
2012-01-20 00:00:00	-1.0	630.5	0	1327017600
2012-01-20 01:00:00	-2.1	911.7999999999997	3600	1327021200
2012-01-20 02:00:00	-1.5	873.0	7200	1327024800
2012-01-20 03:00:00	-0.8	582.0000000000001	10800	1327028400
2012-01-20 04:00:00	-0.2	620.8000000000002	14400	1327032000
2012-01-20 05:00:00	0.0	911.7999999999997	18000	1327035600
2012-01-20 06:00:00	-1.8	601.4	21600	1327039200
