	Power	Date	PowerL	TsetL
2012-01-10 19:00:00	6595.0	10/1/2012 19:00	175274	17.11
2012-01-10 20:00:00	6596.0	10/1/2012 20:00	179034	18.11
2012-01-10 21:00:00	6597.0	10/1/2012 21:00	183088	18.11
2012-01-10 22:00:00	6598.0	10/1/2012 22:00	274050	15.11
2012-01-10 23:00:00	6599.0	10/1/2012 23:00	190110	19.11
2012-01-11 00:00:00	7320.0	11/1/2012 0:00	29712	15.11
2012-01-11 01:00:00	7321.0	11/1/2012 1:00	29162	15.11
2012-01-11 02:00:00	7322.0	11/1/2012 2:00	117979	15.11
2012-01-11 03:00:00	7323.0	11/1/2012 3:00	178725	15.11
2012-01-11 04:00:00	7324.0	11/1/2012 4:00	29162	15.11
2012-01-11 05:00:00	7325.0	11/1/2012 5:00	161237	15.11
2012-01-11 06:00:00	7326.0	11/1/2012 6:00	28612	15.11
2012-01-11 07:00:00	7327.0	11/1/2012 7:00	134231	15.11
2012-01-11 08:00:00	7328.0	11/1/2012 8:00	132516	15.11
2012-01-11 09:00:00	7329.0	11/1/2012 9:00	132093	15.11
2012-01-11 10:00:00	7330.0	11/1/2012 10:00	29712	15.11
2012-01-11 11:00:00	7331.0	11/1/2012 11:00	134856	15.11
2012-01-11 12:00:00	7332.0	11/1/2012 12:00	136675	15.11
2012-01-11 13:00:00	7333.0	11/1/2012 13:00	140429	15.11
2012-01-11 14:00:00	7334.0	11/1/2012 14:00	144273	15.11
2012-01-11 15:00:00	7335.0	11/1/2012 15:00	144545	15.11
2012-01-11 16:00:00	7336.0	11/1/2012 16:00	138921	15.11
2012-01-11 17:00:00	7337.0	11/1/2012 17:00	198764	15.11
2012-01-11 18:00:00	7338.0	11/1/2012 18:00	29712	15.11
2012-01-11 19:00:00	7339.0	11/1/2012 19:00	29712	15.11
2012-01-11 20:00:00	7340.0	11/1/2012 20:00	29162	15.11
2012-01-11 21:00:00	7341.0	11/1/2012 21:00	29712	15.11
2012-01-11 22:00:00	7342.0	11/1/2012 22:00	135651	15.11
2012-01-11 23:00:00	7343.0	11/1/2012 23:00	29712	15.11
2012-01-12 00:00:00	8040.0	12/1/2012 0:00	30263	15.11
2012-01-12 01:00:00	8041.0	12/1/2012 1:00	29712	15.11
2012-01-12 02:00:00	8042.0	12/1/2012 2:00	30263	15.11
2012-01-12 03:00:00	8043.0	12/1/2012 3:00	30263	15.11
2012-01-12 04:00:00	8044.0	12/1/2012 4:00	29712	15.11
2012-01-12 05:00:00	8045.0	12/1/2012 5:00	30263	15.11
2012-01-12 06:00:00	8046.0	12/1/2012 6:00	30263	15.11
2012-01-12 07:00:00	8047.0	12/1/2012 7:00	29712	15.11
2012-01-12 08:00:00	8048.0	12/1/2012 8:00	29712	15.11
2012-01-12 09:00:00	8049.0	12/1/2012 9:00	29712	15.11
2012-01-12 10:00:00	8050.0	12/1/2012 10:00	29712	15.11
2012-01-12 11:00:00	8051.0	12/1/2012 11:00	29712	15.11
2012-01-12 12:00:00	8052.0	12/1/2012 12:00	30263	15.11
2012-01-12 13:00:00	8053.0	12/1/2012 13:00	30263	15.11
2012-01-12 14:00:00	8054.0	12/1/2012 14:00	30263	15.11
2012-01-12 15:00:00	8055.0	12/1/2012 15:00	30263	15.11
2012-01-12 16:00:00	8056.0	12/1/2012 16:00	30263	15.11
2012-01-12 17:00:00	8057.0	12/1/2012 17:00	30813	15.11
2012-01-12 18:00:00	8058.0	12/1/2012 18:00	30263	15.11
2012-01-12 19:00:00	8059.0	12/1/2012 19:00	29712	15.11
2012-01-12 20:00:00	8060.0	12/1/2012 20:00	30263	15.11
2012-01-12 21:00:00	8061.0	12/1/2012 21:00	30263	15.11
2012-01-12 22:00:00	8062.0	12/1/2012 22:00	30263	15.11
2012-01-12 23:00:00	8063.0	12/1/2012 23:00	30263	15.11
2012-01-13 00:00:00	288.0	1/13/2012 0:00	133246	15.11
2012-01-13 01:00:00	289.0	1/13/2012 1:00	131768	15.11
2012-01-13 02:00:00	290.0	1/13/2012 2:00	30263	15.11
2012-01-13 03:00:00	291.0	1/13/2012 3:00	30263	15.11
2012-01-13 04:00:00	292.0	1/13/2012 4:00	29712	15.11
2012-01-13 05:00:00	293.0	1/13/2012 5:00	29712	15.11
2012-01-13 06:00:00	294.0	1/13/2012 6:00	29712	15.11
2012-01-13 07:00:00	295.0	1/13/2012 7:00	29712	15.11
2012-01-13 08:00:00	296.0	1/13/2012 8:00	29712	15.11
2012-01-13 09:00:00	297.0	1/13/2012 9:00	29712	15.11
2012-01-13 10:00:00	298.0	1/13/2012 10:00	29712	15.11
2012-01-13 11:00:00	299.0	1/13/2012 11:00	130789	15.11
2012-01-13 12:00:00	300.0	1/13/2012 12:00	29712	15.11
2012-01-13 13:00:00	301.0	1/13/2012 13:00	30263	15.11
2012-01-13 14:00:00	302.0	1/13/2012 14:00	29712	15.11
2012-01-13 15:00:00	303.0	1/13/2012 15:00	30263	15.11
2012-01-13 16:00:00	304.0	1/13/2012 16:00	29712	15.11
2012-01-13 17:00:00	305.0	1/13/2012 17:00	29712	15.11
2012-01-13 18:00:00	306.0	1/13/2012 18:00	29712	15.11
2012-01-13 19:00:00	307.0	1/13/2012 19:00	29712	15.11
2012-01-13 20:00:00	308.0	1/13/2012 20:00	29712	15.11
2012-01-13 21:00:00	309.0	1/13/2012 21:00	29712	15.11
2012-01-13 22:00:00	310.0	1/13/2012 22:00	30263	15.11
2012-01-13 23:00:00	311.0	1/13/2012 23:00	30263	15.11
2012-01-14 00:00:00	312.0	1/14/2012 0:00	30263	15.11
2012-01-14 01:00:00	313.0	1/14/2012 1:00	29712	15.11
2012-01-14 02:00:00	314.0	1/14/2012 2:00	29712	15.11
2012-01-14 03:00:00	315.0	1/14/2012 3:00	30263	15.11
2012-01-14 04:00:00	316.0	1/14/2012 4:00	29712	15.11
2012-01-14 05:00:00	317.0	1/14/2012 5:00	29712	15.11
2012-01-14 06:00:00	318.0	1/14/2012 6:00	29712	15.11
2012-01-14 07:00:00	319.0	1/14/2012 7:00	29712	15.11
2012-01-14 08:00:00	320.0	1/14/2012 8:00	29162	15.11
2012-01-14 09:00:00	321.0	1/14/2012 9:00	29712	15.11
2012-01-14 10:00:00	322.0	1/14/2012 10:00	29162	15.11
2012-01-14 11:00:00	323.0	1/14/2012 11:00	29712	15.11
2012-01-14 12:00:00	324.0	1/14/2012 12:00	30263	15.11
2012-01-14 13:00:00	325.0	1/14/2012 13:00	30813	15.11
2012-01-14 14:00:00	326.0	1/14/2012 14:00	29712	15.11
2012-01-14 15:00:00	327.0	1/14/2012 15:00	29712	15.11
2012-01-14 16:00:00	328.0	1/14/2012 16:00	29712	15.11
2012-01-14 17:00:00	329.0	1/14/2012 17:00	30263	15.11
2012-01-14 18:00:00	330.0	1/14/2012 18:00	30263	15.11
2012-01-14 19:00:00	331.0	1/14/2012 19:00	29712	15.11
2012-01-14 20:00:00	332.0	1/14/2012 20:00	29712	15.11
2012-01-14 21:00:00	333.0	1/14/2012 21:00	29712	15.11
2012-01-14 22:00:00	334.0	1/14/2012 22:00	29712	15.11
2012-01-14 23:00:00	335.0	1/14/2012 23:00	29712	15.11
2012-01-15 00:00:00	336.0	1/15/2012 0:00	29162	15.11
2012-01-15 01:00:00	337.0	1/15/2012 1:00	29712	15.11
2012-01-15 02:00:00	338.0	1/15/2012 2:00	29712	15.11
2012-01-15 03:00:00	339.0	1/15/2012 3:00	29162	15.11
2012-01-15 04:00:00	340.0	1/15/2012 4:00	29712	15.11
2012-01-15 05:00:00	341.0	1/15/2012 5:00	29712	15.11
2012-01-15 06:00:00	342.0	1/15/2012 6:00	29712	15.11
2012-01-15 07:00:00	343.0	1/15/2012 7:00	29712	15.11
2012-01-15 08:00:00	344.0	1/15/2012 8:00	29712	15.11
2012-01-15 09:00:00	345.0	1/15/2012 9:00	29162	15.11
2012-01-15 10:00:00	346.0	1/15/2012 10:00	29712	15.11
2012-01-15 11:00:00	347.0	1/15/2012 11:00	30263	15.11
2012-01-15 12:00:00	348.0	1/15/2012 12:00	29162	15.11
2012-01-15 13:00:00	349.0	1/15/2012 13:00	29712	15.11
2012-01-15 14:00:00	350.0	1/15/2012 14:00	29712	15.11
2012-01-15 15:00:00	351.0	1/15/2012 15:00	29712	15.11
2012-01-15 16:00:00	352.0	1/15/2012 16:00	30263	15.11
2012-01-15 17:00:00	353.0	1/15/2012 17:00	29712	15.11
2012-01-15 18:00:00	354.0	1/15/2012 18:00	29162	15.11
2012-01-15 19:00:00	355.0	1/15/2012 19:00	29712	15.11
2012-01-15 20:00:00	356.0	1/15/2012 20:00	29162	15.11
2012-01-15 21:00:00	357.0	1/15/2012 21:00	29712	15.11
2012-01-15 22:00:00	358.0	1/15/2012 22:00	29712	15.11
2012-01-15 23:00:00	359.0	1/15/2012 23:00	29162	15.11
2012-01-16 00:00:00	360.0	1/16/2012 0:00	29162	15.11
2012-01-16 01:00:00	361.0	1/16/2012 1:00	29712	15.11
2012-01-16 02:00:00	362.0	1/16/2012 2:00	29162	15.11
2012-01-16 03:00:00	363.0	1/16/2012 3:00	29162	15.11
2012-01-16 04:00:00	364.0	1/16/2012 4:00	29712	15.11
2012-01-16 05:00:00	365.0	1/16/2012 5:00	29162	15.11
2012-01-16 06:00:00	366.0	1/16/2012 6:00	29712	15.11
2012-01-16 07:00:00	367.0	1/16/2012 7:00	28612	15.11
2012-01-16 08:00:00	368.0	1/16/2012 8:00	29712	15.11
2012-01-16 09:00:00	369.0	1/16/2012 9:00	29162	15.11
2012-01-16 10:00:00	370.0	1/16/2012 10:00	29712	15.11
2012-01-16 11:00:00	371.0	1/16/2012 11:00	29162	15.11
2012-01-16 12:00:00	372.0	1/16/2012 12:00	29162	15.11
2012-01-16 13:00:00	373.0	1/16/2012 13:00	30263	15.11
2012-01-16 14:00:00	374.0	1/16/2012 14:00	29712	15.11
2012-01-16 15:00:00	375.0	1/16/2012 15:00	29712	15.11
2012-01-16 16:00:00	376.0	1/16/2012 16:00	30263	15.11
2012-01-16 17:00:00	377.0	1/16/2012 17:00	29712	15.11
2012-01-16 18:00:00	378.0	1/16/2012 18:00	29712	15.11
2012-01-16 19:00:00	379.0	1/16/2012 19:00	29712	15.11
2012-01-16 20:00:00	380.0	1/16/2012 20:00	30263	15.11
2012-01-16 21:00:00	381.0	1/16/2012 21:00	29712	15.11
2012-01-16 22:00:00	382.0	1/16/2012 22:00	30263	15.11
2012-01-16 23:00:00	383.0	1/16/2012 23:00	29712	15.11
