Power Tset
192907.0 15.11
198160.0 15.11
187346.0 15.11
184157.0 15.11
142922.0 15.11
131130.0 15.11
132043.0 15.11
130843.0 15.11
128489.0 15.11
233263.0 15.11
131462.0 15.11
129997.0 15.11
142887.0 15.11
165833.0 15.11
155465.0 15.11
149364.0 15.11
148044.0 15.11
152979.0 15.11
169115.0 15.11
262236.0 15.11
273908.0 15.11
131768.0 15.11
215875.0 15.11
228637.0 15.11
234994.0 15.11
231856.0 15.11
234562.0 15.11
200901.0 15.11
145960.0 15.11
133381.0 15.11
134737.0 15.11
133902.0 15.11
133401.0 15.11
202255.0 15.11
131241.0 15.11
131084.0 15.11
135606.0 15.11
132623.0 15.11
132592.0 15.11
132107.0 15.11
131895.0 15.11
132734.0 15.11
139596.0 15.11
137117.0 15.11
137237.0 15.11
138081.0 15.11
156878.0 16.11
151675.0 15.11
161668.0 15.11
154415.0 15.11
157476.0 16.11
150853.0 16.11
152004.0 16.11
143232.0 15.11
141331.0 15.11
145006.0 15.11
145949.0 15.11
154223.0 16.11
147707.0 16.11
146886.0 16.11
145949.0 15.11
140167.0 15.11
142435.0 15.11
140235.0 15.11
141360.0 15.11
145644.0 15.11
149979.0 16.11
157884.0 17.11
165483.0 17.11
165243.0 18.11
179514.0 19.11
189554.0 19.11
190125.0 20.11
197957.0 20.11
199636.0 20.11
195720.0 20.11
200686.0 20.11
195793.0 19.11
185211.0 19.11
188166.0 19.11
191150.0 20.11
181747.0 19.11
209521.0 20.11
196323.0 19.11
513176.0 19.11
478825.0 19.11
438262.0 19.11
416214.0 18.11
414658.0 18.11
463298.0 19.11
549850.0 17.11
517188.0 21.11
571159.0 21.11
200144.0 22.11
655332.0 19.11
652883.0 23.11
613252.0 23.11
605722.0 22.11
575568.0 22.11
552513.0 22.11
261521.0 21.11
213666.0 21.11
208546.0 21.11
205070.0 21.11
204030.0 20.11
616945.0 17.11
209224.0 20.11
202385.0 20.11
504211.0 20.11
426320.0 19.11
315131.0 17.11
286219.0 17.11
270892.0 17.11
291622.0 17.11
292964.0 16.11
282311.0 15.11
283558.0 15.11
159990.0 15.11
294773.0 15.11
299653.0 15.11
322646.0 15.11
321306.0 16.11
297802.0 15.11
277575.0 15.11
168882.0 15.11
144333.0 15.11
142930.0 15.11
141526.0 15.11
141994.0 15.11
277979.0 15.11
145600.0 15.11
143750.0 15.11
301671.0 15.11
200517.0 15.11
196760.0 15.11
186252.0 15.11
187672.0 15.11
194537.0 15.11
191708.0 15.11
196601.0 15.11
187758.0 15.11
139963.0 15.11
192651.0 15.11
187515.0 15.11
185019.0 15.11
185019.0 15.11
177039.0 15.11
178402.0 15.11
144083.0 15.11
135830.0 15.11
134706.0 15.11
134209.0 15.11
135709.0 15.11
189618.0 15.11
139818.0 15.11
134328.0 15.11
160389.0 15.11
262905.0 15.11
165051.0 15.11
168946.0 15.11
168637.0 15.11
162750.0 15.11
221732.0 15.11
198071.0 15.11
230385.0 15.11
138061.0 15.11
283601.0 16.11
301462.0 16.11
297042.0 16.11
316712.0 17.11
306777.0 16.11
306014.0 17.11
181217.0 16.11
155987.0 16.11
144994.0 15.11
146576.0 15.11
143535.0 15.11
259061.0 15.11
150875.0 15.11
146482.0 15.11
217240.0 15.11
186602.0 15.11
188804.0 15.11
180971.0 15.11
188435.0 15.11
196465.0 15.11
231094.0 16.11
263755.0 17.11
318853.0 18.11
161084.0 17.11
311696.0 17.11
346454.0 18.11
342438.0 18.11
366177.0 19.11
357710.0 19.11
299858.0 15.11
195329.0 18.11
168680.0 17.11
170376.0 18.11
163937.0 17.11
161380.0 17.11
316626.0 17.11
162539.0 17.11
162539.0 17.11
169594.0 17.11
167388.0 17.11
164996.0 17.11
164093.0 17.11
165527.0 17.11
174610.0 18.11
192040.0 18.11
197043.0 19.11
196979.0 19.11
183130.0 20.11
210349.0 21.11
215494.0 21.11
220768.0 20.11
211672.0 20.11
201336.0 20.11
198176.0 20.11
190322.0 19.11
172814.0 18.11
156544.0 16.11
154933.0 16.11
145300.0 15.11
160012.0 15.11
142976.0 15.11
137277.0 15.11
134218.0 15.11
134971.0 15.11
135476.0 15.11
133345.0 15.11
132603.0 15.11
129005.0 15.11
130733.0 15.11
129755.0 15.11
130183.0 15.11
139437.0 15.11
132019.0 15.11
132849.0 15.11
131871.0 15.11
132849.0 15.11
131144.0 15.11
131049.0 15.11
131642.0 15.11
130916.0 15.11
