Date	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset
1/12/2013 5:00	5.8	1280.4	18000	1357966800	464458	15.11
1/12/2013 6:00	5.8	1435.6	21600	1357970400	542424	15.11
1/12/2013 7:00	5.8	1513.2	25200	1357974000	533896	15.11
1/12/2013 8:00	6.1	1522.9	28800	1357977600	525307	15.11
1/12/2013 9:00	6.9	1251.3	32400	1357981200	451679	15.11
1/12/2013 10:00	7.2	1552	36000	1357984800	507646	15.11
1/12/2013 11:00	8	1610.2	39600	1357988400	564327	15.11
1/12/2013 12:00	9.4	1552	43200	1357992000	513673	15.11
1/12/2013 13:00	10.2	1610.2	46800	1357995600	570042	15.11
1/12/2013 14:00	10.4	1629.6	50400	1357999200	578999	15.11
1/12/2013 15:00	9.9	1610.2	54000	1358002800	568769	15.11
1/12/2013 16:00	8.9	1503.5	57600	1358006400	549627	15.11
1/12/2013 17:00	8	1464.7	61200	1358010000	560729	15.11
1/12/2013 18:00	7.2	1319.2	64800	1358013600	484287	15.11
1/12/2013 19:00	6.6	1222.2	68400	1358017200	438121	15.11
1/12/2013 20:00	6.1	1270.7	72000	1358020800	460095	15.11
1/12/2013 21:00	6.1	1134.9	75600	1358024400	399751	15.11
1/12/2013 22:00	5.8	1105.8	79200	1358028000	387521	15.11
1/12/2013 23:00	5.3	1086.4	82800	1358031600	379370	15.11
1/13/2013 0:00	4.7	1086.4	0	1358035200	379075	15.11
1/13/2013 1:00	4.7	1241.6	3600	1358038800	445709	15.11
1/13/2013 2:00	5	1202.8	7200	1358042400	428370	15.11
1/13/2013 3:00	5.5	1435.6	10800	1358046000	542199	15.11
1/13/2013 4:00	5.5	1231.9	14400	1358049600	441752	15.11
1/13/2013 5:00	5.5	1309.5	18000	1358053200	478185	15.11
1/13/2013 6:00	5.5	1319.2	21600	1358056800	482898	15.11
1/13/2013 7:00	5.5	1358	25200	1358060400	502100	15.11
1/13/2013 8:00	6.1	1474.4	28800	1358064000	579178	15.11
1/13/2013 9:00	6.6	1270.7	32400	1358067600	460478	15.11
1/13/2013 10:00	7.2	1610.2	36000	1358071200	563256	15.11
1/13/2013 11:00	7.7	1668.4	39600	1358074800	587418	15.11
1/13/2013 12:00	7.7	1629.6	43200	1358078400	571643	15.11
1/13/2013 13:00	7.7	1668.4	46800	1358082000	587418	15.11
