Date	Twet	Load	Hour(s)	TimeStamp(s)
2011-02-23 20:00:00	-2.9	58.2	72000	1298491200
2011-02-23 21:00:00	-3.1	58.2	75600	1298494800
2011-02-23 22:00:00	-3.5	58.2	79200	1298498400
2011-02-23 23:00:00	-4.0	58.2	82800	1298502000
2011-02-24 00:00:00	-4.0	58.2	0	1298505600
2011-02-24 01:00:00	-4.6	58.2	3600	1298509200
2011-02-24 02:00:00	-4.7	58.2	7200	1298512800
2011-02-24 03:00:00	-5.1	58.2	10800	1298516400
2011-02-24 04:00:00	-5.1	58.2	14400	1298520000
2011-02-24 05:00:00	-5.3	58.2	18000	1298523600
2011-02-24 06:00:00	-5.6	58.2	21600	1298527200
2011-02-24 07:00:00	-2.6	58.2	25200	1298530800
2011-02-24 08:00:00	0.1	58.2	28800	1298534400
2011-02-24 09:00:00	1.3	58.2	32400	1298538000
2011-02-24 10:00:00	2.0	58.2	36000	1298541600
2011-02-24 11:00:00	2.8	58.2	39600	1298545200
2011-02-24 12:00:00	4.0	58.2	43200	1298548800
2011-02-24 13:00:00	5.4	58.2	46800	1298552400
2011-02-24 14:00:00	5.4	58.2	50400	1298556000
2011-02-24 15:00:00	4.9	58.2	54000	1298559600
2011-02-24 16:00:00	6.1	58.2	57600	1298563200
2011-02-24 17:00:00	6.1	58.2	61200	1298566800
2011-02-24 18:00:00	6.5	58.2	64800	1298570400
2011-02-24 19:00:00	7.0	58.2	68400	1298574000
2011-02-24 20:00:00	7.0	58.2	72000	1298577600
2011-02-24 21:00:00	7.0	58.2	75600	1298581200
2011-02-24 22:00:00	6.9	58.2	79200	1298584800
2011-02-24 23:00:00	6.6	58.2	82800	1298588400
2011-02-25 00:00:00	6.4	58.2	0	1298592000
2011-02-25 01:00:00	5.8	58.2	3600	1298595600
2011-02-25 02:00:00	5.3	58.2	7200	1298599200
2011-02-25 03:00:00	5.3	58.2	10800	1298602800
2011-02-25 04:00:00	5.5	58.2	14400	1298606400
2011-02-25 05:00:00	5.8	58.2	18000	1298610000
2011-02-25 06:00:00	5.8	58.2	21600	1298613600
2011-02-25 07:00:00	6.1	58.2	25200	1298617200
2011-02-25 08:00:00	7.2	58.2	28800	1298620800
2011-02-25 09:00:00	11.9	58.2	32400	1298624400
2011-02-25 10:00:00	12.4	58.2	36000	1298628000
2011-02-25 11:00:00	14.3	58.2	39600	1298631600
2011-02-25 12:00:00	14.2	58.2	43200	1298635200
2011-02-25 13:00:00	11.0	58.2	46800	1298638800
2011-02-25 14:00:00	6.6	58.2	50400	1298642400
2011-02-25 15:00:00	3.5	921.5	54000	1298646000
2011-02-25 16:00:00	2.7	543.2	57600	1298649600
2011-02-25 17:00:00	1.9	669.3000000000002	61200	1298653200
2011-02-25 18:00:00	1.2	679.0000000000001	64800	1298656800
2011-02-25 19:00:00	1.0	649.9000000000002	68400	1298660400
2011-02-25 20:00:00	0.5	475.3	72000	1298664000
2011-02-25 21:00:00	0.0	58.2	75600	1298667600
2011-02-25 22:00:00	0.0	397.7	79200	1298671200
2011-02-25 23:00:00	-0.8	436.5	82800	1298674800
2011-02-26 00:00:00	-1.5	407.4	0	1298678400
2011-02-26 01:00:00	-1.7	397.7	3600	1298682000
2011-02-26 02:00:00	-1.0	58.2	7200	1298685600
2011-02-26 03:00:00	-1.2	58.2	10800	1298689200
2011-02-26 04:00:00	-1.2	58.2	14400	1298692800
2011-02-26 05:00:00	-1.0	58.2	18000	1298696400
2011-02-26 06:00:00	-1.0	58.2	21600	1298700000
2011-02-26 07:00:00	-0.5	58.2	25200	1298703600
2011-02-26 08:00:00	0.2	58.2	28800	1298707200
2011-02-26 09:00:00	0.7	58.2	32400	1298710800
2011-02-26 10:00:00	0.9	58.2	36000	1298714400
2011-02-26 11:00:00	1.5	436.5	39600	1298718000
2011-02-26 12:00:00	1.7	543.2	43200	1298721600
