Date	Twet	Load	Tset	Twet+Err	Load+Err
3/13/2012 1:00	13.5	58.2	15.11	14.45	62.88
3/13/2012 2:00	13.6	58.2	15.11	14.32	59.98
3/13/2012 3:00	13.4	58.2	15.11	13.73	41.51
3/13/2012 4:00	13.1	58.2	15.11	14.06	74.77
3/13/2012 5:00	12.8	58.2	15.11	14.73	68.12
3/13/2012 6:00	12.8	58.2	15.11	14.21	50.42
3/13/2012 7:00	13.3	58.2	15.11	13.96	49.49
3/13/2012 8:00	14.8	58.2	17.11	15.31	58.38
3/13/2012 9:00	16	58.2	18.11	16.16	51.56
3/13/2012 10:00	16.6	58.2	18.11	18.22	74.6
3/13/2012 11:00	16.7	58.2	18.11	16.71	68.59
3/13/2012 12:00	17.4	58.2	19.11	18.67	44.21
3/13/2012 13:00	17.2	58.2	19.11	17.62	63.42
3/13/2012 14:00	17	58.2	19.11	17.86	53.93
3/13/2012 15:00	17.2	58.2	19.11	17.33	49.86
3/13/2012 16:00	17	58.2	19.11	17.44	45.47
3/13/2012 17:00	16.4	58.2	18.11	17.81	49.94
3/13/2012 18:00	16	58.2	18.11	16.87	64.85
3/13/2012 19:00	14.4	58.2	16.11	16.33	75.57
3/13/2012 20:00	13.8	58.2	16.11	13.94	42.77
3/13/2012 21:00	12.9	58.2	15.11	13.56	61.15
3/13/2012 22:00	11.5	58.2	15.11	12.38	70.52
3/13/2012 23:00	12.7	58.2	15.11	14.67	51.16
3/14/2012 0:00	12	58.2	15.11	13.33	69.68
3/14/2012 1:00	12	58.2	15.11	12.29	64.17
3/14/2012 2:00	12	58.2	15.11	12.66	55.54
3/14/2012 3:00	10.7	58.2	15.11	11.01	46.29
3/14/2012 4:00	9.9	58.2	15.11	11.22	42.54
3/14/2012 5:00	10.4	58.2	15.11	10.58	64.83
3/14/2012 6:00	11	436.5	15.11	12.9	327.1
3/14/2012 7:00	13	446.2	16.11	14.25	511.4
3/14/2012 8:00	12	426.8	15.11	13.21	324.92
3/14/2012 9:00	11.4	426.8	15.11	12.86	352.04
3/14/2012 10:00	12	446.2	15.11	12.81	374.62
3/14/2012 11:00	12.2	446.2	15.11	12.9	432.64
3/14/2012 12:00	12.5	446.2	15.11	13.91	340.82
3/14/2012 13:00	12.7	446.2	15.11	13.96	328.47
3/14/2012 14:00	13.3	455.9	16.11	14.89	549.49
3/14/2012 15:00	13.3	446.2	16.11	13.5	471.42
3/14/2012 16:00	13.5	455.9	16.11	14.81	432.81
3/14/2012 17:00	12.7	436.5	15.11	13.04	454.06
3/14/2012 18:00	11.8	465.6	15.11	12.88	429.29
3/14/2012 19:00	10.9	455.9	15.11	11.79	333
3/14/2012 20:00	11.6	446.2	15.11	13.55	464.2
3/14/2012 21:00	11.3	446.2	15.11	12.49	560.14
3/14/2012 22:00	10	436.5	15.11	11.48	487.45
3/14/2012 23:00	11.2	446.2	15.11	11.51	360.72
3/15/2012 0:00	11.2	436.5	15.11	11.24	528.8
3/15/2012 1:00	9.2	436.5	15.11	10.22	423.68
3/15/2012 2:00	8.7	436.5	15.11	9.15	343.86
3/15/2012 3:00	8.1	436.5	15.11	9.6	548.36
3/15/2012 4:00	8.1	436.5	15.11	9.91	462.53
3/15/2012 5:00	7.3	446.2	15.11	7.89	385.66
3/15/2012 6:00	8.1	683.85	15.11	8.73	714.32
3/15/2012 7:00	11	669.3	15.11	12.35	845.14
3/15/2012 8:00	13	698.4	16.11	14.27	554.23
3/15/2012 9:00	13.9	712.95	17.11	14.13	713.48
3/15/2012 10:00	14.2	742.05	17.11	14.48	546.26
3/15/2012 11:00	14.4	742.05	18.11	16.23	919.94
3/15/2012 12:00	15.6	756.6	15.11	17.46	685.08
3/15/2012 13:00	15.6	756.6	15.11	16.61	811.28
3/15/2012 14:00	16.1	756.6	19.11	16.52	574.81
3/15/2012 15:00	15.4	771.15	15.11	17.4	651.01
3/15/2012 16:00	14.9	771.15	18.11	16.4	759.77
3/15/2012 17:00	13.5	683.85	17.11	13.84	838.03
3/15/2012 18:00	13	771.15	15.11	13.86	771.43
3/15/2012 19:00	12	756.6	15.11	12.84	837.47
3/15/2012 20:00	11.2	756.6	15.11	11.94	803.99
3/15/2012 21:00	10.2	756.6	15.11	10.31	851.7
3/15/2012 22:00	9.9	683.85	15.11	10.96	853.71
3/15/2012 23:00	9.9	683.85	15.11	10.79	715.34
3/16/2012 0:00	9.7	683.85	15.11	11.13	728.63
3/16/2012 1:00	9.4	683.85	15.11	10.95	618.75
3/16/2012 2:00	9.4	683.85	15.11	11.12	730.36
3/16/2012 3:00	9.4	698.4	15.11	11.09	542.99
3/16/2012 4:00	9.4	683.85	15.11	10.61	527.01
3/16/2012 5:00	9.4	669.3	15.11	9.82	744.66
3/16/2012 6:00	9.4	475.3	15.11	11.16	357.65
3/16/2012 7:00	9.4	853.6	15.11	10.28	829.47
3/16/2012 8:00	9.7	649.9	15.11	9.71	622.63
3/16/2012 9:00	9.9	717.8	15.11	9.98	533.08
3/16/2012 10:00	10.2	708.1	15.11	10.56	859.86
3/16/2012 11:00	11	756.6	15.11	11.64	587.06
3/16/2012 12:00	11.8	766.3	15.11	12.33	793.84
3/16/2012 13:00	12.3	805.1	15.11	13.06	654.49
3/16/2012 14:00	12.8	776	15.11	13.72	589
3/16/2012 15:00	13.5	708.1	17.11	15.4	864.88
3/16/2012 16:00	13.5	494.7	16.11	14.89	427.94
3/16/2012 17:00	13	465.6	16.11	13.21	457.28
3/16/2012 18:00	12	446.2	15.11	12.69	574.34
3/16/2012 19:00	11.5	446.2	15.11	12.56	392.91
3/16/2012 20:00	11	436.5	15.11	11.87	460.07
3/16/2012 21:00	11	436.5	15.11	12.73	354.3
3/16/2012 22:00	10.7	446.2	15.11	12.24	404.61
3/16/2012 23:00	10.5	552.9	15.11	11.11	684.1
3/17/2012 0:00	9.9	582	15.11	10.15	706.59
3/17/2012 1:00	9.9	543.2	15.11	10.37	413.76
3/17/2012 2:00	9.1	523.8	15.11	10.64	465.33
3/17/2012 3:00	8.8	523.8	15.11	10.18	371.34
3/17/2012 4:00	8.3	902.1	15.11	9.33	830.85
3/17/2012 5:00	8	805.1	15.11	9.23	586.5
3/18/2012 8:00	9.7	771.15	15.11	11.46	953.89
3/18/2012 9:00	10.2	1236.75	15.11	11.82	1567.37
3/18/2012 10:00	10.8	1338.6	15.11	12.66	1004.12
3/18/2012 11:00	11.8	1338.6	15.11	12.78	1653.5
3/18/2012 12:00	13	1353.15	16.11	14.64	1445.7
3/18/2012 13:00	13.8	1353.15	17.11	15.31	1438.78
3/18/2012 14:00	13.8	1382.25	17.11	14.8	1417.82
3/18/2012 15:00	13.8	1382.25	17.11	15.17	1669.81
3/18/2012 16:00	13.3	1396.8	17.11	14.56	1073.85
3/18/2012 17:00	12.3	1367.7	16.11	14.03	1040.58
3/18/2012 18:00	11.8	960.3	15.11	12.24	824.08
3/18/2012 19:00	11.3	800.25	15.11	11.83	721.48
3/18/2012 20:00	10.7	814.8	15.11	11.02	707.09
3/18/2012 21:00	10.5	814.8	15.11	10.89	643.88
3/18/2012 22:00	10.5	814.8	15.11	12.04	1009.71
3/18/2012 23:00	9.7	829.35	15.11	10.5	1031.05
3/19/2012 0:00	9.9	800.25	15.11	11.48	1028.34
3/19/2012 1:00	9.4	1033.05	15.11	10.23	1012.42
3/19/2012 2:00	8.8	1105.8	15.11	10.67	1346.13
3/19/2012 3:00	8.8	1105.8	15.11	9.94	1234.99
3/19/2012 4:00	8.3	1120.35	15.11	9.69	962.72
3/19/2012 5:00	8.3	1178.55	15.11	9.07	903.95
3/19/2012 6:00	9.7	1236.75	15.11	11.59	1175.3
3/19/2012 7:00	11.6	1251.3	15.11	12.4	902.48
3/19/2012 8:00	13.4	436.5	16.11	15.09	490.51
3/19/2012 9:00	14.6	58.2	16.11	16.39	52.49
3/19/2012 10:00	16.1	58.2	18.11	17.41	55.09
3/19/2012 11:00	17.2	58.2	19.11	18.33	72.76
3/19/2012 12:00	17.4	708.1	20.11	17.72	708.2
3/19/2012 13:00	17.4	58.2	19.11	17.49	64.48
3/19/2012 14:00	16.9	58.2	19.11	18.7	51.1
3/19/2012 15:00	17.6	58.2	19.11	18.23	71.33
3/19/2012 16:00	16.7	58.2	18.11	17.63	74.27
3/19/2012 17:00	16.4	58.2	18.11	18.06	40.79
3/19/2012 18:00	16.3	58.2	18.11	17.88	52.16
3/19/2012 19:00	16.2	446.2	19.11	17.59	446.89
3/19/2012 20:00	16.2	58.2	18.11	16.27	65.02
3/19/2012 21:00	16.1	58.2	18.11	16.23	56.21
3/19/2012 22:00	16.2	58.2	18.11	17.65	69.18
3/19/2012 23:00	16.3	58.2	18.11	16.31	63.77
3/20/2012 0:00	16	58.2	18.11	17.24	46.56
3/20/2012 1:00	15.7	58.2	17.11	16.07	65.15
3/20/2012 2:00	15.7	58.2	17.11	17.61	54.59
3/20/2012 3:00	15.2	58.2	17.11	15.87	69.69
3/20/2012 4:00	15.2	58.2	17.11	16.56	71.21
3/20/2012 5:00	15.2	58.2	17.11	16.56	70.56
3/20/2012 6:00	15.2	58.2	17.11	16.27	45.65
3/20/2012 7:00	14.6	58.2	16.11	15.74	44.54
3/20/2012 8:00	14.9	814.8	17.11	16.77	634.02
3/20/2012 9:00	15.4	1164	18.11	17	1205.85
3/20/2012 10:00	15.6	1164	18.11	17.24	1477.71
3/20/2012 11:00	15.6	1164	18.11	16.57	899.19
3/20/2012 12:00	16.6	1207.65	19.11	16.98	1416.68
