	Unnamed: 0	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek	Load_dis	Twet_dis	Tset_BN
192	2012-03-04 17:00:00	0.9	58.2	61200	1330880400	35675	15.11	17	3	6	100	10.0	15.11
193	2012-03-04 18:00:00	0.2	58.2	64800	1330884000	35675	15.11	18	3	6	100	10.0	15.11
194	2012-03-04 19:00:00	0.0	58.2	68400	1330887600	35675	15.11	19	3	6	100	10.0	15.11
195	2012-03-04 20:00:00	-0.5	58.2	72000	1330891200	35675	15.11	20	3	6	100	10.0	15.11
196	2012-03-04 21:00:00	-0.5	58.2	75600	1330894800	35675	15.11	21	3	6	100	10.0	15.11
197	2012-03-04 22:00:00	-0.8	58.2	79200	1330898400	35675	15.11	22	3	6	100	10.0	15.11
198	2012-03-04 23:00:00	-1.2	58.2	82800	1330902000	35675	15.11	23	3	6	100	10.0	15.11
199	2012-03-05 00:00:00	-1.5	58.2	0	1330905600	35675	15.11	0	3	0	100	10.0	15.11
200	2012-03-05 01:00:00	-1.5	58.2	3600	1330909200	35675	15.11	1	3	0	100	10.0	15.11
201	2012-03-05 02:00:00	-1.9	58.2	7200	1330912800	35675	15.11	2	3	0	100	10.0	15.11
202	2012-03-05 03:00:00	-2.2	58.2	10800	1330916400	35675	15.11	3	3	0	100	10.0	15.11
203	2012-03-05 04:00:00	-3.3	58.2	14400	1330920000	35675	15.11	4	3	0	100	10.0	15.11
204	2012-03-05 05:00:00	-2.9	58.2	18000	1330923600	35675	15.11	5	3	0	100	10.0	15.11
205	2012-03-05 06:00:00	-2.4	58.2	21600	1330927200	35675	15.11	6	3	0	100	10.0	15.11
206	2012-03-05 17:00:00	0.3	58.2	61200	1330966800	35675	15.11	17	3	0	100	10.0	15.11
207	2012-03-05 22:00:00	-2.9	58.2	79200	1330984800	35675	15.11	22	3	0	100	10.0	15.11
208	2012-03-05 23:00:00	-3.2	58.2	82800	1330988400	35675	15.11	23	3	0	100	10.0	15.11
209	2012-03-06 00:00:00	-3.6	58.2	0	1330992000	35675	15.11	0	3	1	100	10.0	15.11
210	2012-03-06 01:00:00	-3.9	58.2	3600	1330995600	35675	15.11	1	3	1	100	10.0	15.11
211	2012-03-06 02:00:00	-4.1	58.2	7200	1330999200	35675	15.11	2	3	1	100	10.0	15.11
212	2012-03-06 03:00:00	-4.3	58.2	10800	1331002800	35675	15.11	3	3	1	100	10.0	15.11
213	2012-03-06 04:00:00	-5.0	58.2	14400	1331006400	35675	15.11	4	3	1	100	10.0	15.11
214	2012-03-06 05:00:00	-5.1	58.2	18000	1331010000	35675	15.11	5	3	1	100	10.0	15.11
215	2012-03-06 06:00:00	-5.0	58.2	21600	1331013600	35675	15.11	6	3	1	100	10.0	15.11
216	2012-03-06 07:00:00	-3.1	58.2	25200	1331017200	35675	15.11	7	3	1	100	10.0	15.11
217	2012-03-06 08:00:00	-1.5	58.2	28800	1331020800	35675	15.11	8	3	1	100	10.0	15.11
218	2012-03-06 09:00:00	-1.0	58.2	32400	1331024400	35675	15.11	9	3	1	100	10.0	15.11
219	2012-03-06 10:00:00	0.0	58.2	36000	1331028000	35675	15.11	10	3	1	100	10.0	15.11
